method,swap_count,depth,fidelity,noise_score,ideal_counts,noisy_counts
random,9,29,0.9506469017993179,0.5,"{'00000': 535, '11001': 489}","{'01000': 4, '10001': 6, '11001': 488, '00000': 486, '01001': 11, '01011': 6, '00010': 2, '10010': 4, '10000': 7, '01101': 2, '00001': 3, '11011': 2, '11000': 3}"
sabre,9,19,0.967768046599336,0.0,"{'11001': 517, '00000': 507}","{'10001': 4, '00000': 493, '11001': 498, '11000': 6, '10000': 5, '01001': 11, '01101': 3, '10100': 3, '10101': 1}"
thermal,9,19,0.9742875956799665,0.5,"{'00000': 517, '11001': 507}","{'10001': 1, '01000': 2, '00000': 522, '11001': 476, '01101': 6, '01001': 7, '10000': 2, '10100': 3, '11000': 5}"
